section_type,valid,d,b,t_f,t_w,r,n_r,A,ksx,ksy,Ixx,Iyy,Ixy,elastic_modulus,poissons_ratio,yield_strength
i_section,True,202.37387636276344,230.7220092210934,18.77787225506377,25.301180540324356,7.665791655308483,8,12887.01937921165,0.6015909501808223,0.3244075377373284,83051386.23712735,38671470.446954586,-3.8919126444034113e-07,230847.29337179687,0.7770371824566071,111.34817226199485
i_section,True,360.44089942406856,96.14069447341207,20.018672265264982,28.236097440044425,19.563435352622434,8,13234.766218463481,0.18833740306955904,0.7038867096844122,197261533.71825337,3687568.018751127,2.4320295519369836e-07,224863.6327483944,0.99,122.12347922676855
i_section,True,128.02374670961171,132.74093931075691,18.992871329273562,29.562860636321776,6.809515587073101,8,7745.067546626055,0.635460408232328,0.39848582253798037,17012650.8671704,7608659.451055944,-1.440866804883173e-07,210105.7321703973,0.99,127.61648129803972
i_section,True,348.62506083982225,264.33318081437045,27.097261115352797,13.32727380439607,17.662693323954954,8,18525.36951831127,0.6658133321393067,0.23991278173220662,405127014.22541946,83504931.55397779,-2.012452196399822e-06,225160.62782043635,0.9013004312596955,97.36422753141113
i_section,True,318.8361306364269,196.15339986703844,15.946960354650383,10.620844498650833,10.625681243625483,8,9403.557499421478,0.5730420501293656,0.3399185156494243,166517280.5981393,20094263.056033537,1.2416273016591565e-07,188764.37372697133,0.99,181.4796139936066
i_section,True,145.75307282255716,53.11334223865062,25.132041011366653,20.78782579175268,11.212663189562797,8,4765.930626991233,0.3428002181120224,0.5908218401200146,11587148.237062974,718253.1865687792,-1.4516717194461532e-08,269086.3194256017,0.99,212.72232698270804
i_section,True,254.24982555459786,213.1262438376798,22.167530330215488,15.661219832750948,7.330024018741688,8,12784.020869421822,0.6316670042959869,0.2807518322026186,140201488.4290415,35838113.50316895,-6.207666140065907e-07,213949.16705135486,0.99,141.88198626749187
i_section,True,358.07557217996,257.60340267684126,24.218182332428725,8.332473568284216,15.298771000442574,8,15264.500637091107,0.6947787323891704,0.19115894454532045,373652451.9865115,69028217.24132125,1.1954736068860505e-06,209122.14084859288,0.99,129.8338563559134
i_section,True,182.8491092659973,163.5627376797837,29.011710431460084,18.141581112673286,7.1242014707299886,8,11799.907550411688,0.6867694881999074,0.25212935584274426,59922318.86527534,21225355.13846279,-7.044024396253806e-08,221819.2203921068,0.9768646636934375,213.52667159796437
i_section,True,296.3298299385509,139.93454245878155,17.38993560140088,13.812174584260283,18.363610372141736,8,8777.821859101863,0.49911786356241267,0.44743939672121275,120172418.82439442,8039708.6562050255,-8.25602095798564e-08,236569.77252593322,0.99,255.59403040119966
i_section,True,306.6834142428846,144.52071189595912,12.919435147666224,9.779300236357216,19.98946654149519,8,6834.225151733759,0.5093268975772843,0.4288191496930102,105199499.91518068,6558212.248848278,-4.698098628269663e-08,207863.34584884474,0.9726075256125621,232.33168670765278
i_section,True,366.61041690880535,234.80615087314732,28.73283972590556,11.560786280138021,18.345601355452814,8,17365.009164835068,0.6627875488805234,0.2381647588376708,421233787.4187331,62067933.155737564,2.815549823007506e-06,249729.19827394068,0.955280505909464,238.0550097885111
i_section,True,371.5573388097553,77.25238740786811,26.224938365557946,22.69940304666235,12.095589408616675,8,11424.862621336533,0.12680865173049494,0.6778688625995329,185683749.083319,2352589.218677054,-8.933529894334488e-08,218628.58501639345,0.99,273.52634819845423
i_section,True,376.2744706011968,257.5944929610754,18.166936915951567,12.080967263023153,11.77138331076506,8,13588.806854424138,0.5916776001009715,0.3138414402713112,343302268.00494206,51813459.466433845,1.8619602118281364e-06,234967.42691963728,0.9418121051228506,225.86138941461465
i_section,True,204.63836153153383,71.74944625292335,27.272155835798973,9.869492861017736,7.218447305085446,8,5440.97483490136,0.42699965753229857,0.35803251493995547,34050726.263987966,1693005.1419605294,2.1178017197550184e-08,184448.33449525503,0.99,241.56423704313613
i_section,True,143.66302389682224,138.1873825889167,23.079919621666505,19.048959202053382,13.385279122297149,8,8394.550685245533,0.6887765908539313,0.29618140792300823,25273851.281814884,10232792.478471853,-3.006728728781426e-08,194875.41206867376,0.99,188.0774471031398
i_section,True,312.3042164955374,240.3737356261655,28.398159495239145,20.914096051930354,19.494777532209483,8,19332.289714434057,0.6242335483237095,0.31416657806260756,310210904.9537239,66009647.24139091,-1.4154948832644223e-06,209732.30176243745,0.99,145.5800251826443
i_section,True,347.42097464433317,250.62067494426802,20.77916479203798,28.193220982219678,14.17153407894528,8,19216.307547943652,0.4963491165126837,0.4546564310684441,349401880.6654492,55142279.15163045,-2.810853561518196e-06,200117.148648677,0.99,191.25633006001112
