0,1,2,3
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 193.93611627463542, 'b': 176.1370646115069, 't': 12.473565221290043, 'r_out': 13.835062683760324, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 8420.349315424744, 'ixx': 8919499381913.832, 'iyy': 7656334387418.896, 'ixy': -0.015625, 'g_eff': 76923.07692307673})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 241.48986770409024, 'b': 273.0510539224655, 't': 2.98462220788541, 'r_out': 9.020037295700412, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 2990.853806675901, 'ixx': 5805625497785.037, 'iyy': 6985932673639.566, 'ixy': -0.068359375, 'g_eff': 76923.07692307647})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 237.0730109202746, 'b': 263.6361618374942, 't': 7.796266125299525, 'r_out': 17.000783384862068, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 7359.893364693118, 'ixx': 13074635810856.941, 'iyy': 15375872243413.125, 'ixy': -0.0546875, 'g_eff': 76923.07692307686})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 260.62014404989793, 'b': 193.26265690229684, 't': 15.557333314564236, 'r_out': 14.727542001648962, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 12937.389067470272, 'ixx': 23652880947943.35, 'iyy': 14671533909270.543, 'ixy': 0.00390625, 'g_eff': 76923.07692307673})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 201.0491661527716, 'b': 115.35635125165241, 't': 6.546755491694446, 'r_out': 19.12222835127337, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 3763.901987991144, 'ixx': 3895546864840.4834, 'iyy': 1660156556485.5835, 'ixy': -0.015625, 'g_eff': 76923.07692307707})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 56.97943916420978, 'b': 249.54166754412734, 't': 16.045617996422145, 'r_out': 10.648577232292158, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 8693.401547544463, 'ixx': 698199002001.791, 'iyy': 10153276978176.293, 'ixy': -0.0029296875, 'g_eff': 76923.07692307691})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 59.17083049881499, 'b': 46.735327524729534, 't': 14.52423200122647, 'r_out': 16.919887578366815, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 1952.0545280629483, 'ixx': 115704372901.66351, 'iyy': 76033534370.6117, 'ixy': 0.000335693359375, 'g_eff': 76923.07692307704})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 25.478764120613633, 'b': 93.83862191426203, 't': 10.754897040838161, 'r_out': 15.45145946905683, 'n_r': 4})","('valid', False)","('stiffness_props', {'area': None, 'ixx': None, 'iyy': None, 'ixy': None, 'g_eff': None})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 143.25649663589843, 'b': 139.70513912239275, 't': 12.193297846657464, 'r_out': 12.769018481298241, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 6143.0485797205965, 'ixx': 3464184201166.417, 'iyy': 3326818423307.0176, 'ixy': 0.001953125, 'g_eff': 76923.07692307702})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 278.4558656765981, 'b': 100.99785755844844, 't': 15.083314371037472, 'r_out': 14.494123543375203, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 10326.734486676636, 'ixx': 17500228847089.414, 'iyy': 3217634074366.9062, 'ixy': -0.0703125, 'g_eff': 76923.07692307647})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 287.0464247894149, 'b': 136.70501941392, 't': 13.214473317442204, 'r_out': 18.39134549329326, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 10189.373501546808, 'ixx': 20133988532740.86, 'iyy': 6135944150365.584, 'ixy': -0.01953125, 'g_eff': 76923.07692307717})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 94.79528245520618, 'b': 171.2972816723806, 't': 5.024057445238223, 'r_out': 13.135356468424332, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 2466.019625294179, 'ixx': 750056545157.6658, 'iyy': 1865853447573.853, 'ixy': 0.006103515625, 'g_eff': 76923.07692307686})"
